,Type,EDI_Std_Nomenclature,AISC_Manual_Label,T_F,W,A,d,ddet,bf,bfdet,tw,twdet,twdet/2,tf,tfdet,kdes,kdet,k1,bf/2tf,h/tw,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,Cw,Wno,Sw1,Qf,Qw,rts,ho,PA,PB,Lp,Lr,plastic,fcompact,wcompact
0,W,W44X335,W44X335,F,335.0,98.5,44.0,44      ,15.9,16      ,1.03,1      ,  1/2 ,1.77,1  3/4 ,2.56,2  5/8 ,1  5/16,4.50,38.0,31100.0,1620.0,1410.0,17.8,1200.0,236.0,150.0,3.49,74.7,535000,168,1180,278,805,4.24,42.2,132,148,12.327381756795633,38.78544387778705,6750.0,1,1
1,W,W44X290,W44X290,F,290.0,85.4,43.6,43  5/8 ,15.8,15  7/8 ,0.865,  7/8 ,  7/16,1.58,1  9/16,2.36,2  7/16,1  1/4 ,5.02,45.0,27000.0,1410.0,1240.0,17.8,1040.0,205.0,132.0,3.49,50.9,461000,166,1040,248,701,4.20,42.0,131,147,12.327381756795633,36.83983460709498,5875.0,1,1
2,W,W44X262,W44X262,F,262.0,77.2,43.3,43  1/4 ,15.8,15  3/4 ,0.785, 13/16,  7/16,1.42,1  7/16,2.20,2  1/4 ,1  3/16,5.57,49.6,24100.0,1270.0,1110.0,17.7,923.0,182.0,117.0,3.47,37.3,405000,165,928,223,630,4.17,41.9,131,147,12.25673773526672,35.6007309171208,5291.666666666667,1,1
3,W,W44X230,W44X230,F,230.0,67.8,42.9,42  7/8 ,15.8,15  3/4 ,0.710, 11/16,  3/8 ,1.22,1  1/4 ,2.01,2  1/16,1  3/16,6.45,54.8,20800.0,1100.0,971.0,17.5,796.0,157.0,101.0,3.43,24.9,346000,165,793,192,547,4.13,41.7,130,146,12.11544969220889,34.24271991405271,4583.333333333333,1,1
4,W,W40X593,W40X593,T,593.0,174.0,43.0,43      ,16.7,16  3/4 ,1.79,1 13/16, 15/16,3.23,3  1/4 ,4.41,4  1/2 ,2  1/8 ,2.58,19.1,50400.0,2760.0,2340.0,17.0,2520.0,481.0,302.0,3.8,445,997000,166,2240,479,1370,4.63,39.8,130,147,13.422364090493813,63.827718408159335,11500.0,1,1
5,W,W40X503,W40X503,T,503.0,148.0,42.1,42      ,16.4,16  3/8 ,1.54,1  9/16, 13/16,2.76,2  3/4 ,3.94,4      ,2      ,2.98,22.3,41600.0,2320.0,1980.0,16.8,2040.0,394.0,249.0,3.72,277,789000,161,1830,403,1150,4.50,39.3,129,145,13.139788004378154,55.17056957926673,9666.666666666666,1,1
6,W,W40X431,W40X431,T,431.0,127.0,41.3,41  1/4 ,16.2,16  1/4 ,1.34,1  5/16, 11/16,2.36,2  3/8 ,3.54,3  5/8 ,1  7/8 ,3.44,25.5,34800.0,1960.0,1690.0,16.6,1690.0,328.0,208.0,3.65,177,638000,158,1510,341,969,4.41,38.9,127,143,12.892533929026952,49.00416024953151,8166.666666666667,1,1
7,W,W40X397,W40X397,T,397.0,117.0,41.0,41      ,16.1,16  1/8 ,1.22,1  1/4 ,  5/8 ,2.20,2  3/16,3.38,3  1/2 ,1 13/16,3.66,28.0,32000.0,1800.0,1560.0,16.6,1540.0,300.0,191.0,3.64,142,579000,156,1380,318,891,4.38,38.8,126,142,12.857211918262495,46.61232540909247,7500.0,1,1
8,W,W40X372,W40X372,T,372.0,110.0,40.6,40  5/8 ,16.1,16  1/8 ,1.16,1  3/16,  5/8 ,2.05,2  1/16,3.23,3  5/16,1 13/16,3.93,29.5,29600.0,1680.0,1460.0,16.5,1420.0,277.0,177.0,3.6,116,528000,155,1280,295,829,4.33,38.6,125,141,12.715923875204664,44.37580408727239,7000.0,1,1
9,W,W40X362,W40X362,T,362.0,106.0,40.6,40  1/2 ,16.0,16      ,1.12,1  1/8 ,  9/16,2.01,2      ,3.19,3  1/4 ,1  3/4 ,3.99,30.5,28900.0,1640.0,1420.0,16.5,1380.0,270.0,173.0,3.6,109,513000,154,1240,289,808,4.33,38.6,125,141,12.715923875204664,43.96143342574296,6833.333333333333,1,1
